City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
240,Kawalu,ID,74.19,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
241,Victoria,HK,79.32,light rain,22.2855,114.1577,Mini Hotel Central
242,Calamar,CO,84.15,overcast clouds,10.2511,-74.9146,Hostal Katyalex
243,Tamandare,BR,83.21,few clouds,-8.7597,-35.1047,Pousada 100 Passos
244,Itaituba,BR,86.16,broken clouds,-4.2761,-55.9836,Hotel Campos
245,Sao Benedito Do Rio Preto,BR,92.26,few clouds,-3.3336,-43.5283,João de Barro Hotel
246,Santa Lucia,ES,69.12,scattered clouds,27.9117,-15.5407,Las Tirajanas
247,Parkes,AU,70.36,overcast clouds,-33.1333,148.1833,Station Motel
248,Dedza,MW,74.89,broken clouds,-14.3779,34.3332,Kapeleta Dedza Estates
249,Caravelas,BR,81.95,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
250,Lagoa,PT,66.69,overcast clouds,39.05,-27.9833,Casa Das Faias
251,Rudbar,AF,71.89,clear sky,30.15,62.6,
252,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
253,Yeppoon,AU,73.18,clear sky,-23.1333,150.7333,Villa Mar Colina
254,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
255,San Luis,AR,85.37,clear sky,-33.295,-66.3356,Huarpes Hotel
256,Monchique,PT,66.56,scattered clouds,37.3177,-8.5553,Estalagem Abrigo da Montanha
257,Agucadoura,PT,72.25,overcast clouds,41.4318,-8.7804,Varzinn Hotel
258,Conde,BR,85.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
259,Rio Grande,BR,82.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
260,Puerto Ayacucho,VE,74.39,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
261,Phalombe,MW,80.13,overcast clouds,-15.8064,35.6507,RIVONIA
262,Kerman,IR,69.66,few clouds,30.2832,57.0788,هتل آپارتمان آسام
263,Dire Dawa,ET,82.81,clear sky,9.5931,41.8661,Samrat Hotel
264,Sibolga,ID,78.76,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
265,Madang,PG,78.91,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
266,Tallahassee,US,75.61,moderate rain,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
267,Sur,OM,81.86,clear sky,22.5667,59.5289,Sur Plaza Hotel
268,Axim,GH,81.81,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
269,Kupang,ID,82.54,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
270,Estelle,US,67.05,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
271,Mehriz,IR,68.5,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
272,Santa Rosa,PH,82.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
273,Necochea,AR,77.13,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
274,Tadine,NC,72.14,overcast clouds,-21.55,167.8833,
275,Benguela,AO,78.93,broken clouds,-12.5763,13.4055,Hotel Praia Morena
276,Aljezur,PT,72.09,overcast clouds,37.3191,-8.8033,Amazigh Hostel
277,Beloha,MG,71.8,clear sky,-25.1667,45.05,
278,Kikwit,CD,89.67,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
279,Yambio,SS,84.27,overcast clouds,4.5721,28.3955,Naivasha Hotel
280,Zabid,YE,90.43,clear sky,14.1951,43.3152,مغرب التريبه
281,Ubeda,ES,70.45,overcast clouds,38.0133,-3.3705,"Palacio del Deán Ortega, Úbeda"
282,Talara,PE,66.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
283,Saint-Pierre,RE,79.57,clear sky,-21.3393,55.4781,Lindsey Hôtel
284,Jiquilisco,SV,78.78,overcast clouds,13.3167,-88.5833,Canton.rokinte
285,Nalut,LY,71.76,overcast clouds,30.3333,10.85,
286,General Pico,AR,88.63,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
287,Kirakira,SB,80.53,few clouds,-10.4544,161.9205,SanBiz Lodge
288,Xai-Xai,MZ,74.82,broken clouds,-25.0519,33.6442,Complexo da Familia
